kode_wilayah,kode_provinsi,kode_kabupaten,nama_kabupaten,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,total_siswa,jumlah_sppg,flag_tanpa_sppg,rasio_siswa_per_sppg,kebutuhan_sppg,gap_sppg,kategori_layanan
20500,20,2050,BOGOR,703051,323841,123027,132446,1437666,642.0,0,2239.355140186916,479.222,-162.77800000000002,"Layanan Sesuai (High Demand, High Supply)"
20800,20,2080,BANDUNG,405286,184351,90140,54268,849908,490.0,0,1734.5061224489796,283.30266666666665,-206.69733333333335,"Layanan Sesuai (High Demand, High Supply)"
280300,28,2803,TANGERANG,417022,174765,77573,76649,825053,298.0,0,2768.6342281879197,275.0176666666667,-22.982333333333315,"Layanan Sesuai (High Demand, High Supply)"
22200,22,2220,BEKASI,423093,169132,72021,74158,823184,317.0,0,2596.794952681388,274.3946666666667,-42.605333333333306,"Layanan Sesuai (High Demand, High Supply)"
21100,21,2110,GARUT,316304,152613,78744,52705,720917,452.0,0,1594.9491150442477,240.30566666666667,-211.69433333333333,"Layanan Sesuai (High Demand, High Supply)"
20600,20,2060,SUKABUMI,301321,133273,62348,37190,628860,355.0,0,1771.4366197183099,209.62,-145.38,"Layanan Sesuai (High Demand, High Supply)"
20700,20,2070,CIANJUR,296853,128247,45486,53308,598981,345.0,0,1736.176811594203,199.66033333333334,-145.33966666666666,"Layanan Sesuai (High Demand, High Supply)"
56000,56,5600,KOTA SURABAYA,246917,117997,63903,58372,597912,116.0,0,5154.413793103448,199.304,83.304,"Layanan Sesuai (High Demand, High Supply)"
22100,22,2210,KARAWANG,284552,115370,41408,60338,575405,277.0,0,2077.274368231047,191.80166666666668,-85.19833333333332,"Layanan Sesuai (High Demand, High Supply)"
51800,51,5180,MALANG,238639,127662,43555,53434,558371,225.0,0,2481.648888888889,186.12366666666668,-38.87633333333332,"Layanan Sesuai (High Demand, High Supply)"
26500,26,2650,KOTA BEKASI,261639,114042,56188,59593,552890,249.0,0,2220.4417670682733,184.29666666666665,-64.70333333333335,"Layanan Sesuai (High Demand, High Supply)"
76000,76,7600,KOTA MEDAN,233722,122300,85608,48961,532864,199.0,0,2677.708542713568,177.62133333333333,-21.378666666666675,"Layanan Sesuai (High Demand, High Supply)"
21700,21,2170,CIREBON,240943,116942,47405,46937,515518,259.0,0,1990.4169884169885,171.83933333333334,-87.16066666666666,"Layanan Sesuai (High Demand, High Supply)"
52400,52,5240,JEMBER,219352,106707,49291,47365,509299,206.0,0,2472.3252427184466,169.76633333333334,-36.233666666666664,"Layanan Sesuai (High Demand, High Supply)"
26000,26,2600,KOTA BANDUNG,217870,108257,71056,52146,504963,252.0,0,2003.8214285714287,168.321,-83.679,"Layanan Sesuai (High Demand, High Supply)"
70100,70,7010,DELI SERDANG,243447,114342,51921,41475,499770,217.0,0,2303.0875576036865,166.59,-50.41,"Layanan Sesuai (High Demand, High Supply)"
16400,16,1640,KOTA ADM. JAKARTA TIMUR,229428,107781,58777,56504,496992,229.0,0,2170.2707423580787,165.664,-63.33600000000001,"Layanan Sesuai (High Demand, High Supply)"
50200,50,5020,SIDOARJO,201379,94321,43104,43165,465431,142.0,0,3277.6830985915494,155.14366666666666,13.143666666666661,"Layanan Sesuai (High Demand, High Supply)"
21200,21,2120,TASIKMALAYA,179651,98014,46362,37117,427436,281.0,0,1521.1245551601423,142.47866666666667,-138.52133333333333,"Layanan Sesuai (High Demand, High Supply)"
26600,26,2660,KOTA DEPOK,205243,92434,39023,38319,425695,192.0,0,2217.1614583333335,141.89833333333334,-50.10166666666666,"Layanan Sesuai (High Demand, High Supply)"
280400,28,2804,SERANG,202437,85881,42835,27219,413341,216.0,0,1913.6157407407406,137.78033333333335,-78.21966666666665,"Layanan Sesuai (High Demand, High Supply)"
22300,22,2230,BANDUNG BARAT,195179,90820,40389,29144,410290,221.0,0,1856.5158371040725,136.76333333333332,-84.23666666666668,"Layanan Sesuai (High Demand, High Supply)"
32900,32,3290,BREBES,191357,88127,29588,40677,398129,190.0,0,2095.415789473684,132.70966666666666,-57.290333333333336,"Layanan Sesuai (High Demand, High Supply)"
116000,11,1160,KOTA PALEMBANG,184689,87441,58704,33135,397927,206.0,0,1931.6844660194174,132.64233333333334,-73.35766666666666,"Layanan Sesuai (High Demand, High Supply)"
21800,21,2180,INDRAMAYU,192433,82604,28500,44009,397465,191.0,0,2080.9685863874347,132.48833333333334,-58.511666666666656,"Layanan Sesuai (High Demand, High Supply)"
286100,28,2861,KOTA TANGERANG,186594,80631,37839,45374,394422,87.0,0,4533.586206896552,131.474,44.47399999999999,"Layanan Sesuai (High Demand, High Supply)"
30100,30,3010,CILACAP,177221,84993,28976,44539,381340,198.0,0,1925.959595959596,127.11333333333333,-70.88666666666667,"Layanan Sesuai (High Demand, High Supply)"
230300,23,2303,LOMBOK TIMUR,164293,77938,52047,19648,379635,251.0,0,1512.4900398406373,126.545,-124.455,"Layanan Sesuai (High Demand, High Supply)"
30200,30,3020,BANYUMAS,158309,84406,29103,51508,364034,213.0,0,1709.0798122065728,121.34466666666667,-91.65533333333333,"Layanan Sesuai (High Demand, High Supply)"
51900,51,5190,PASURUAN,155240,78538,37076,29510,363398,104.0,0,3494.2115384615386,121.13266666666667,17.132666666666665,"Layanan Sesuai (High Demand, High Supply)"
16200,16,1620,KOTA ADM. JAKARTA BARAT,166946,78355,33914,41977,351112,63.0,0,5573.206349206349,117.03733333333334,54.037333333333336,"Layanan Sesuai (High Demand, High Supply)"
36300,36,3630,KOTA SEMARANG,144659,73457,37713,35773,349574,171.0,0,2044.2923976608188,116.52466666666666,-54.47533333333334,"Layanan Sesuai (High Demand, High Supply)"
