kode_wilayah,nama_wilayah,tk_sederajat,kb_sederajat,tpa,sps,sd_sederajat,smp_sederajat,sma_sederajat,smk_sederajat,slb,total,nama_kabupaten,kode_provinsi,kode_kabupaten,total_siswa,jumlah_sppg,rasio_siswa_per_sppg,kategori_layanan,kebutuhan_sppg,gap_sppg
20500,KAB. BOGOR,45616,91327,144,17467,703051,323841,123027,132446,747,1437666,BOGOR,20,2050,1437666,642.0,2239.355140186916,"Layanan Sesuai (High Demand, High Supply)",479.222,-162.77800000000002
20800,KAB. BANDUNG,61613,37504,289,12933,405286,184351,90140,54268,3524,849908,BANDUNG,20,2080,849908,490.0,1734.5061224489796,"Layanan Sesuai (High Demand, High Supply)",283.30266666666665,-206.69733333333335
280300,KAB. TANGERANG,40501,33296,122,3523,417022,174765,77573,76649,1602,825053,TANGERANG,28,2803,825053,298.0,2768.6342281879197,"Layanan Sesuai (High Demand, High Supply)",275.0176666666667,-22.982333333333315
22200,KAB. BEKASI,57181,23628,329,2940,423093,169132,72021,74158,702,823184,BEKASI,22,2220,823184,317.0,2596.794952681388,"Layanan Sesuai (High Demand, High Supply)",274.3946666666667,-42.605333333333306
21100,KAB. GARUT,56879,54456,361,6473,316304,152613,78744,52705,2382,720917,GARUT,21,2110,720917,452.0,1594.9491150442477,"Layanan Sesuai (High Demand, High Supply)",240.30566666666667,-211.69433333333333
20600,KAB. SUKABUMI,25050,34333,105,34006,301321,133273,62348,37190,1234,628860,SUKABUMI,20,2060,628860,355.0,1771.4366197183099,"Layanan Sesuai (High Demand, High Supply)",209.62,-145.38
20700,KAB. CIANJUR,20399,42538,45,11269,296853,128247,45486,53308,836,598981,CIANJUR,20,2070,598981,345.0,1736.176811594203,"Layanan Sesuai (High Demand, High Supply)",199.66033333333334,-145.33966666666666
56000,KOTA SURABAYA,75368,7480,593,25574,246917,117997,63903,58372,1708,597912,KOTA SURABAYA,56,5600,597912,116.0,5154.413793103448,"Layanan Sesuai (High Demand, High Supply)",199.304,83.304
22100,KAB. KARAWANG,31001,7274,88,34663,284552,115370,41408,60338,711,575405,KARAWANG,22,2210,575405,277.0,2077.274368231047,"Layanan Sesuai (High Demand, High Supply)",191.80166666666668,-85.19833333333332
51800,KAB. MALANG,70595,22953,153,521,238639,127662,43555,53434,859,558371,MALANG,51,5180,558371,225.0,2481.648888888889,"Layanan Sesuai (High Demand, High Supply)",186.12366666666668,-38.87633333333332
